trayek
BINTARO - BLOK M VIA JORR
PORIS PLAWAD - BUNDARAN SENAYAN
PORIS PLAWAD - PASAR BARU
PORIS PLAWAD - JUANDA
TRANSJAKARTA CARES
STASIUN PALMERAH - ISTORA SENAYAN
RAGUNAN - DEPARTEMEN PERTANIAN
RAGUNAN - SMK 57
MARUNDA-RAGUNAN
ROMBONGAN JIC-CIBUBUR (BERBAYAR)
SHUTTLE BUS PULO GEBANG - PULO GADUNG
SHUTTLE BUS RAGUNAN - SMK 57
ROMBONGAN TOUR DE BATAVIA
SHUTTLE THAMRIN 10 - LAPANGAN BANTENG
SHUTTLE IRTI - LAPANGAN BANTENG
ROMBONGAN PENGUNGSI PENCARI SWAKA
PPSU DKI - ANCOL
LEBARAN BETAWI
ROMBONGAN AL IRSYAD - MONAS
POLDA-GBK
ROMBONGAN PKK DKI - VELDROME
ROMBONGAN MASJID DKI - JIC
ROMBONGAN PJK KAMPUNG KB-DKI
TANJUNG PRIOK-PLUMPANG
DUREN SAWIT - KAMPUNG MELAYU
LEBAK BULUS - PONDOK LABU
GROGOL - TUBAGUS ANGKE
ACARA PEDULI PALU&LOMBOK ANCOL
ROMBONGAN PAGUYUBAN FR DISABEL
ROMBONGAN YAYASAN PEMATA DISABEL
ROMBONGAN KGPM PULOGEBANG
ROMBONGAN LANSIA PONDOK PINANG
ROMBONGAN NATAL DKI ANCOL
ROMBONGAN PAGUYUBAN LANSIA KOTAMADYA JAKSEL
GRATIS PNS DKI DAN PENSIUNAN PNS
ROMBONGAN MARUNDA - BALAI KOTA
ACARA MUI DKI MONAS
ROMBONGAN PRAMUKA NAHDATUL ULAMA
ROMBONGAN PKK CIBUBUR
ROMBONGAN PAUD
ROMBONGAN RUSUN MARUNDA
ROMBONGAN PAGUYUBAN LANSIA JAKSEL
ROMBONGAN MARUNDA - RAGUNAN
ROMBONGAN MARUNDA - MOI
ROMBONGAN MARUNDA-RAGUNAN
ROMBONGAN DPR MRT
ROMBONGAN INDO TEMPO DOELOE
ROMBONGAN IHF TROFI TAHUN 2019
ROMBONGAN RUMAH ZAKAT
ROMBONGAN YAYASAN PANTI NURUL HUDA
ROMBONGAN ANAK YATIM  Y.P PETAMBURAN
TIKET KERTAS GRATIS PLN PADAM (NON BRT)
ROMBONGAN DKI BALAIKOTA - PIK
ROMBONGAN APRESIASI LURAH/CAMAT DKI
ROMBONGAN BUDAYA DISABILITAS
ROMBONGAN PAWAI OBOR 1 M 1441 H
ROMBONGAN ACARA ISOCARP 55
ACARA LENONG BETAWI
ACARA ANAK YATIM
ROMBONGAN RT/RW JUMANTIK
ROMBONGAN IKADA
ROMBONGAN PKK DKI
ACARA PEKAN OLAHRAGA MAHASISWA (POMNAS)
ACARA JAKARTA URBAN KAMPUNG COMPEREN (JUKC)
ROMBONGAN HUT TNI
RM FESTIVAL BAKAR BATU
MILAD BANK JABAR
KONGRES VIII LMND
ROMBONGAN PRA PON GULAT
ROMBONGAN KEGIATAN PERTIKAWAN
ROMBONGAN KORPRI DKI
ROMBONGAN PPAPP
ROMBONGAN CRISTMAST
ROMBONGAN HARI JUANG TNI
ROMBONGAN HARI DISABILITAS
ROMBONGAN PACTO
ROMBONGAN JARINGAN MISKIN KPOTA
SHUTLE BUS IRTI MONAS
SHUTLE BUS RAGUNAN
SHUTLE BUS LISTRIK MONAS
SHUTLE BUS ANCOL
RUSUN SUKAPURA - SUNTER (VIA KELAPA GADING)
RUSUN MARUNDA - RUSUN WADUK PLUIT
RUSUN PENJARINGAN - PENJARINGAN
TANAH ABANG - BLOK M
SENEN - TANAH ABANG
KOTA TUA EXPLORER
BALAIKOTA - PIK
PIK - BALAIKOTA
ST. PALMERAH - TOSARI
STASIUN PALMERAH - TOSARI
BLOK M - PESANGGARAHAN
PESANGGRAHAN - BLOK M
BLOK M - PONDOK LABU
PONDOK LABU - BLOK M
ST. PALMERAH - SENAYAN
STASIUN PALMERAH - BUNDARAN SENAYAN
TANAH ABANG - GONDANGDIA
STASIUN TANAH ABANG - STASIUN GONDANGDIA
SENEN - BUNDERAN SENAYAN
STASIUN PASAR SENEN - STASIUN TANAH ABANG
HARAPAN INDAH - JAKARTA GARDEN CITY
JGC - HARAPAN INDAH
PENJARINGAN - RAWA BUAYA
CENTRAL LAND - PURI KEMBANGAN
SENTRALAND CENGKARENG - PURI KEMBANGAN
TU GAS - GROGOL 2
ST. MANGGARAI - UI
STASIUN MANGGARAI - UI
TU GAS - BUNDERAN SENAYAN
PULO GADUNG - PONDOK GEDE
PONDOK GEDE - PULOGADUNG 2
ST. TEBET - BIDARA CINA
KAMPUNG MELAYU - TANAH ABANG VIA CIKINI
KAMPUNG MELAYU - RAGUNAN
ST. TEBET - KARET
STASIUN TEBET - KARET VIA PATRA KUNINGAN
LEBAK BULUS - SENEN
ST. MANGGARAI - BLOK M
BLOK M - RAGUNAN VIA KEMANG
RAGUNAN - FATMAWATI
BLOK M - KAMPUNG RAMBUTAN
PANCORAN - TMII
RAGUNAN - RAMBUTAN
KAMPUNG RAMBUTAN - GANDARIA
BLOK M - JOGLO
BLOK M - BINTARO KODAM
TANAH ABANG - BATU SARI
BLOK M - CIPEDAK
LRT PEGANGSAAN - KELAPA GADING
SENIN - TANJUNG PRIOK
PULO GEBANG - PULO GADUNG (VIA PIK)
PULOGEBANG - PULOGADUNG 2 VIA PIK
PULOGEBANG - STASIUN CAKUNG VIA CILINCING
PELABUHAN KALIADEM - KOTA
DUKUH ATAS - RATULANGI
DUKUH ATAS - SAM RATULANGI
DUKUH ATAS - TANAH ABANG
DUKUH ATAS - KUNINGAN
DUKUH ATAS - KOTA
SOUTH QUARTER - LEBAK BULUS
GRATIS TENAGA KONTRAK DKI
GRATIS PENERIMA KJP
GRATIS KARYAWAN SWASTA TERTENTU
GRATIS PENGHUNI RUMAH SUSUN
GRATIS KTP KEPULAUAN SERIBU
GRATIS PENERIMA RASKIN
GRATIS TNI/POLRI
GRATIS VETERAN
GRATIS PENYANDANG DISABILITAS
GRATIS LANSIA
GRATIS MARBOT
GRATIS PAUD
GRATIS JUMANTIK
RUSUN RAWA BEBEK - PAKIN
RUSUN CAKUNG BARAT (ALBO) - PULO GADUNG
RUSUN CAKUNG BARAT (ALBO) - PULO GADUNG 1
RUSUN JATI RAWASARI - SENEN
RUSUN DAAN MOGOT - KALIDERES
RUSUN PESAKIH - KALIDERES
RUSUN FLAMBOYAN - KALIDERES
RUSUN KAPUK MUARA - KALIDERES
RUSUN KAPUK MUARA - PENJARINGAN
RUSUN JATINEGARA KAUM - PULO GADUNG
RUSUN JATINEGARA KAUM - PULO GADUNG 2
RUSUN TAMBORA - PLUIT
RUSUN MARUNDA - TANJUNG PRIOK
RUSUN CIPINANG BESAR SELATAN - PENAS KALIMALANG
RUSUN RAWA BEBEK - PENGGILINGAN
RUSUN PINUS ELOK - RUSUN PULO GEBANG
RUSUN KOMARUDIN - PENGGILINGAN
RUSUN RAWA BEBEK - BUKIT DURI
RUSUN CIPINANG MUARA - JATINEGARA
RUSUN PONDOK BAMBU - RADIN INTEN
RUSUN PONDOK BAMBU - WALIKOTA JAKARTA TIMUR
RUSUN CAKUNG KM 2 - BUKIT DURI
RUSUN WADUK PLUIT- PENJARINGAN
TANJUNG PRIOK - PLUMPANG
KAMPUNG MELAYU - DUREN SAWIT
GROGOL - JEMBATAN DUA
SEMPER - ROROTAN
KAMPUNG RAMBUTAN - PONDOK GEDE
TANAH ABANG-TAWAKAL
TANAH ABANG - TAWAKAL
ROXI - BENDUNGAN HILIR
ROXY - BENDUNGAN HILIR
ROXY KARET
TANAH ABANG-KOTA
TANAH ABANG-KEBAYORAN LAMA
TANAH ABANG- KAMPUNG BARU KEBAYORAN
TANAH ABANG - KOTA INTAN 
TANAH ABANG-MERUYA
BULAK TURI - TANJUNG PRIOK
TANJUNG PRIOK - BULAK TURI
PGC - CONDET
PULOGADUNG - SENEN 
PULOGADUNG - SENEN
KALIBATA - KUNINGAN
STASIUN KALIBATA - KUNINGAN
PINANG RANTI - SETU
LUBANG BUAYA - CAWANG UKI
DWIKORA - CILILITAN
DWIKORA - PENAS
PENAS KALIMALANG - DWIKORA
PULOGADUNG-PASAR SENEN
SENEN - PULOGADUNG VIA KELAPA GADING
PASAR REBO - KALISARI
RAWAMANGUN-KALIMALANG
RAWAMANGUN - DUREN SAWIT
PULOGEBANG - ROROTAN
PASAR REBO - TAMAN WILADATIKA
TANJUNG PRIOK - KELAPA GADING
MERUYA - CITRALAND
PETUKANGAN - LEBAK BULUS
PULO GADUNG - KOTA
RAWAMANGUN - KLENDER
RAWAMANGUN - PANGKALAN JATI
CILANGKAP - CILILITAN
CILILITAN - CONDET VIA KAYU MANIS
KAMPUNG RAMBUTAN - BULAK RINGIN
BULAK RINGIN - KAMPUNG RAMBUTAN
KALIMALANG - RAWAMANGUN
DUREN SAWIT - KALIMALANG
TAMAN HARAPAN BARU - PULOGEBANG
PULOGEBANG - TAMAN HARAPAN BARU
KAMPUNG MELAYU - PULOGEBANG
PONDOK KELAPA - KAMPUNG MELAYU
TONGTEK - CILILTAN
LENTENG ANGGUNG - ANDARA
ANDARA - LENTENG AGUNG
LEBAK BULUS-RAGUNAN
LEBAK BULUS - RAGUNAN
PASAR MINGGGU-CIGANJUR
PASAR MINGGU - CIGANJUR
LEBAK BULUS - CIPULIR
KALIDERES - PURIKEMBANGAN
KALIDERES - PURI KEMBANGAN
KALIDERES - ANGKE
GROGOL - PENGUMBEN
GROGOL - BENHIL
GROGOL - SRENGSENG
CILINCING - ROROTAN
RAWASENGON - RAWAMANGUN
KELAPA GADING - RUSUN KEMAYORAN
PULOGADUNG - CEMPAKA PUTIH
LENTENG AGUNG - ASELI
KAMPUNG RAMBUTAN - PINANG RANTI
KAMPUNG RAMBUTAN - PASAR REBO VIA PONCOL
CIBUBUR - JAMBORE
RAWAMANGUN - CIPINANG
CILILITAN - KAMPUNG PULO
TANJUNG PRIOK-JEMBATAN ITEM
TANJUNG PRIOK - JEMBATAN HITAM
RAWA BUAYA - RAWA KOMPENI
KAMPUNG MELAYU - KAPIN RAYA
BINTARA - CIPINANG INDAH
TANAH MERAH - PULOGADUNG
TANJUNG PRIOK - TANAH MERDEKA
CIBUBUR - KOTA
BSD - MRT FATMAWATI
HALTE TEBET
HALTE MM BARAT
HALTE SUMARECON BEKASI
HALTE BULAK KAPAL
HALTE BTC
